machine_code,day,time,pressure_2
196,20240614,0,2.235
196,20240614,1,2.217
196,20240614,3,2.192
196,20240614,5,2.182
196,20240614,6,2.167
196,20240614,8,2.155
196,20240614,9,2.14
196,20240614,11,2.137
196,20240614,12,2.131
196,20240614,14,2.131
196,20240614,15,2.135
196,20240614,17,2.135
196,20240614,18,2.147
196,20240614,20,2.162
196,20240614,21,2.176
196,20240614,23,2.189
196,20240614,24,2.194
196,20240614,26,2.203
196,20240614,27,2.21
196,20240614,29,2.216
196,20240614,31,2.223
196,20240614,32,2.225
196,20240614,33,2.219
196,20240614,35,2.219
196,20240614,36,2.214
196,20240614,38,2.209
196,20240614,40,2.194
196,20240614,41,2.178
196,20240614,43,2.171
196,20240614,44,2.153
196,20240614,46,2.142
196,20240614,47,2.121
196,20240614,49,2.106
196,20240614,50,2.099
196,20240614,52,2.09
196,20240614,53,2.081
196,20240614,55,2.068
196,20240614,56,2.061
196,20240614,58,2.056
196,20240614,100,2.052
196,20240614,101,2.056
196,20240614,102,2.058
196,20240614,104,2.061
196,20240614,105,2.065
196,20240614,107,2.07
196,20240614,108,2.076
196,20240614,110,2.077
196,20240614,111,2.077
196,20240614,113,2.072
196,20240614,114,2.063
196,20240614,116,2.059
196,20240614,117,2.051
196,20240614,119,2.045
196,20240614,120,2.042
196,20240614,122,2.036
196,20240614,124,2.029
196,20240614,125,2.025
196,20240614,127,2.024
196,20240614,128,2.024
196,20240614,130,2.033
196,20240614,131,2.038
196,20240614,133,2.047
196,20240614,134,2.054
196,20240614,136,2.056
196,20240614,137,2.058
196,20240614,139,2.059
196,20240614,140,2.067
196,20240614,142,2.074
196,20240614,143,2.09
196,20240614,145,2.099
196,20240614,147,2.11
196,20240614,148,2.122
196,20240614,149,2.142
196,20240614,151,2.156
196,20240614,152,2.167
196,20240614,154,2.174
196,20240614,156,2.187
196,20240614,157,2.192
196,20240614,159,2.203
196,20240614,200,2.205
196,20240614,202,2.209
196,20240614,203,2.21
196,20240614,205,2.21
196,20240614,206,2.209
196,20240614,208,2.209
196,20240614,209,2.207
196,20240614,211,2.201
196,20240614,212,2.192
196,20240614,214,2.178
196,20240614,215,2.162
196,20240614,217,2.147
196,20240614,218,2.135
196,20240614,220,2.119
196,20240614,222,2.099
196,20240614,223,2.081
196,20240614,225,2.065
196,20240614,226,2.052
196,20240614,228,2.043
196,20240614,229,2.04
196,20240614,231,2.034
196,20240614,232,2.034
196,20240614,234,2.042
196,20240614,235,2.054
196,20240614,237,2.068
196,20240614,238,2.086
196,20240614,240,2.103
196,20240614,241,2.124
196,20240614,243,2.142
196,20240614,244,2.162
196,20240614,246,2.178
196,20240614,247,2.196
196,20240614,249,2.21
196,20240614,250,2.228
196,20240614,252,2.241
196,20240614,254,2.257
196,20240614,255,2.268
196,20240614,257,2.275
196,20240614,258,2.284
196,20240614,259,2.271
196,20240614,301,2.241
196,20240614,302,2.205
196,20240614,304,2.158
196,20240614,305,2.117
196,20240614,307,2.079
196,20240614,309,2.051
196,20240614,310,2.029
196,20240614,312,2.013
196,20240614,313,1.997
196,20240614,315,1.991
196,20240614,316,1.989
196,20240614,318,1.995
196,20240614,319,2.0
196,20240614,321,2.0
196,20240614,322,2.006
196,20240614,324,2.006
196,20240614,325,2.006
196,20240614,327,2.007
196,20240614,328,2.011
196,20240614,330,2.011
196,20240614,331,2.015
196,20240614,333,2.015
196,20240614,334,2.006
196,20240614,336,2.006
196,20240614,338,2.0
196,20240614,339,1.989
196,20240614,341,1.989
196,20240614,342,1.988
196,20240614,344,1.986
196,20240614,345,1.986
196,20240614,347,1.986
196,20240614,348,1.984
196,20240614,350,1.972
196,20240614,351,1.972
196,20240614,353,1.97
196,20240614,354,1.966
196,20240614,356,1.968
196,20240614,357,1.97
196,20240614,359,1.97
196,20240614,400,1.97
196,20240614,402,1.979
196,20240614,403,1.984
196,20240614,405,1.989
196,20240614,406,2.0
196,20240614,408,2.006
196,20240614,409,2.016
196,20240614,411,2.022
196,20240614,413,2.034
196,20240614,414,2.051
196,20240614,416,2.063
196,20240614,417,2.065
196,20240614,419,2.067
196,20240614,420,2.067
196,20240614,422,2.065
196,20240614,423,2.061
196,20240614,425,2.045
196,20240614,426,2.038
196,20240614,428,2.027
196,20240614,429,2.015
196,20240614,431,2.0
196,20240614,432,1.988
196,20240614,434,1.973
196,20240614,435,1.959
196,20240614,437,1.952
196,20240614,438,1.95
196,20240614,440,1.952
196,20240614,441,1.959
196,20240614,443,1.968
196,20240614,444,1.975
196,20240614,446,1.982
196,20240614,447,1.986
196,20240614,449,1.989
196,20240614,450,2.015
196,20240614,452,2.065
196,20240614,453,2.103
196,20240614,455,2.151
196,20240614,457,2.18
196,20240614,458,2.203
196,20240614,500,2.214
196,20240614,501,2.221
196,20240614,503,2.226
196,20240614,504,2.235
196,20240614,506,2.244
196,20240614,507,2.257
196,20240614,509,2.262
196,20240614,510,2.27
196,20240614,512,2.268
196,20240614,513,2.266
196,20240614,515,2.261
196,20240614,516,2.252
196,20240614,518,2.248
196,20240614,519,2.246
196,20240614,521,2.243
196,20240614,522,2.239
196,20240614,524,2.241
196,20240614,525,2.235
196,20240614,527,2.232
196,20240614,528,2.237
196,20240614,530,2.246
196,20240614,531,2.261
196,20240614,533,2.277
196,20240614,535,2.291
196,20240614,536,2.302
196,20240614,538,2.313
196,20240614,539,2.322
196,20240614,540,2.331
196,20240614,542,2.336
196,20240614,544,2.343
196,20240614,545,2.343
196,20240614,547,2.35
196,20240614,548,2.356
196,20240614,550,2.352
196,20240614,551,2.341
196,20240614,553,2.34
196,20240614,554,2.334
196,20240614,556,2.334
196,20240614,557,2.336
196,20240614,559,2.34
196,20240614,600,2.347
196,20240614,602,2.356
196,20240614,603,2.363
196,20240614,605,2.367
196,20240614,606,2.367
196,20240614,608,2.368
196,20240614,610,2.367
196,20240614,611,2.372
196,20240614,613,2.37
196,20240614,614,2.372
196,20240614,616,2.374
196,20240614,617,2.365
196,20240614,619,2.356
196,20240614,620,2.345
196,20240614,621,2.332
196,20240614,623,2.318
196,20240614,625,2.309
196,20240614,626,2.293
196,20240614,628,2.286
196,20240614,629,2.284
196,20240614,631,2.273
196,20240614,632,2.261
196,20240614,634,2.235
196,20240614,635,2.209
196,20240614,637,2.189
196,20240614,638,2.167
196,20240614,640,2.144
196,20240614,641,2.13
196,20240614,643,2.11
196,20240614,644,2.099
196,20240614,646,2.085
196,20240614,647,2.076
196,20240614,649,2.068
196,20240614,651,2.065
196,20240614,652,2.058
196,20240614,654,2.051
196,20240614,655,2.043
196,20240614,657,2.043
196,20240614,658,2.045
196,20240614,700,2.043
196,20240614,701,2.038
196,20240614,703,2.036
196,20240614,704,2.029
196,20240614,706,2.033
196,20240614,707,2.038
196,20240614,709,2.042
196,20240614,710,2.043
196,20240614,712,2.056
196,20240614,713,2.074
196,20240614,715,2.079
196,20240614,716,2.09
196,20240614,718,2.095
196,20240614,719,2.097
196,20240614,721,2.106
196,20240614,723,2.113
196,20240614,724,2.124
196,20240614,726,2.142
196,20240614,727,2.155
196,20240614,729,2.173
196,20240614,730,2.185
196,20240614,732,2.191
196,20240614,733,2.2
196,20240614,735,2.207
196,20240614,736,2.21
196,20240614,738,2.216
196,20240614,739,2.21
196,20240614,741,2.205
196,20240614,742,2.201
196,20240614,744,2.198
196,20240614,745,2.189
196,20240614,747,2.174
196,20240614,748,2.16
196,20240614,750,2.144
196,20240614,751,2.124
196,20240614,753,2.106
196,20240614,754,2.094
196,20240614,756,2.086
196,20240614,757,2.076
196,20240614,759,2.065
196,20240614,801,2.061
196,20240614,802,2.063
196,20240614,804,2.065
