machine_code,day,time,pressure_2
179,20240614,0,1.979
179,20240614,2,2.011
179,20240614,3,1.979
179,20240614,5,1.943
179,20240614,6,1.957
179,20240614,8,2.007
179,20240614,9,1.989
179,20240614,11,1.959
179,20240614,12,1.93
179,20240614,14,1.986
179,20240614,15,1.998
179,20240614,17,1.948
179,20240614,18,1.941
179,20240614,20,2.009
179,20240614,21,1.988
179,20240614,23,1.948
179,20240614,24,1.975
179,20240614,26,2.006
179,20240614,27,1.979
179,20240614,29,1.936
179,20240614,31,1.948
179,20240614,32,2.011
179,20240614,34,2.0
179,20240614,35,1.955
179,20240614,37,1.919
179,20240614,38,1.982
179,20240614,40,2.011
179,20240614,41,1.979
179,20240614,43,1.934
179,20240614,44,1.973
179,20240614,46,2.004
179,20240614,47,1.979
179,20240614,49,1.939
179,20240614,50,1.955
179,20240614,52,2.007
179,20240614,53,1.991
179,20240614,55,1.961
179,20240614,56,1.937
179,20240614,58,1.993
179,20240614,59,2.011
179,20240614,101,1.98
179,20240614,102,1.939
179,20240614,104,1.975
179,20240614,105,2.0
179,20240614,107,1.964
179,20240614,108,1.925
179,20240614,110,1.982
179,20240614,111,1.991
179,20240614,113,1.937
179,20240614,114,1.946
179,20240614,116,1.998
179,20240614,117,1.97
179,20240614,119,1.946
179,20240614,120,1.998
179,20240614,122,1.989
179,20240614,123,1.943
179,20240614,125,1.948
179,20240614,127,2.004
179,20240614,128,1.977
179,20240614,130,1.927
179,20240614,131,1.963
179,20240614,133,2.006
179,20240614,134,1.968
179,20240614,136,1.945
179,20240614,137,2.002
179,20240614,139,1.989
179,20240614,140,1.945
179,20240614,142,1.973
179,20240614,144,2.0
179,20240614,145,1.973
179,20240614,146,1.93
179,20240614,148,1.964
179,20240614,149,2.011
179,20240614,151,1.98
179,20240614,153,1.934
179,20240614,154,1.954
179,20240614,156,2.009
179,20240614,157,1.989
179,20240614,159,1.945
179,20240614,200,1.946
179,20240614,202,2.002
179,20240614,203,1.988
179,20240614,205,1.941
179,20240614,206,1.952
179,20240614,208,2.007
179,20240614,209,1.982
179,20240614,211,1.937
179,20240614,212,1.955
179,20240614,214,2.009
179,20240614,215,1.986
179,20240614,217,1.952
179,20240614,218,1.943
179,20240614,220,2.002
179,20240614,221,1.998
179,20240614,223,1.955
179,20240614,225,1.927
179,20240614,226,1.993
179,20240614,228,2.011
179,20240614,229,1.98
179,20240614,231,1.937
179,20240614,232,1.946
179,20240614,234,2.002
179,20240614,235,1.977
179,20240614,237,1.925
179,20240614,238,1.979
179,20240614,240,2.009
179,20240614,241,1.98
179,20240614,243,1.936
179,20240614,244,1.943
179,20240614,246,2.009
179,20240614,247,2.0
179,20240614,249,1.957
179,20240614,250,1.936
179,20240614,252,1.998
179,20240614,253,2.009
179,20240614,255,1.98
179,20240614,257,1.939
179,20240614,258,1.943
179,20240614,259,2.0
179,20240614,301,1.979
179,20240614,303,1.932
179,20240614,304,1.946
179,20240614,306,2.007
179,20240614,307,1.979
179,20240614,309,1.928
179,20240614,310,1.975
179,20240614,312,2.009
179,20240614,313,1.975
179,20240614,315,1.932
179,20240614,316,1.964
179,20240614,318,2.013
179,20240614,319,1.984
179,20240614,321,1.945
179,20240614,322,1.93
179,20240614,324,2.002
179,20240614,325,2.0
179,20240614,327,1.963
179,20240614,328,1.945
179,20240614,330,2.0
179,20240614,332,2.002
179,20240614,333,1.966
179,20240614,334,1.932
179,20240614,336,1.98
179,20240614,338,2.013
179,20240614,339,1.984
179,20240614,341,1.945
179,20240614,342,1.964
179,20240614,344,2.002
179,20240614,345,1.97
179,20240614,347,1.946
179,20240614,348,1.993
179,20240614,350,1.997
179,20240614,351,1.963
179,20240614,353,1.941
179,20240614,354,1.997
179,20240614,356,1.998
179,20240614,357,1.968
179,20240614,359,1.936
179,20240614,400,1.968
179,20240614,402,2.011
179,20240614,404,1.968
179,20240614,405,1.939
179,20240614,407,1.97
179,20240614,408,2.002
179,20240614,410,1.964
179,20240614,411,1.925
179,20240614,413,1.986
179,20240614,414,2.009
179,20240614,416,1.972
179,20240614,417,1.925
179,20240614,419,1.975
179,20240614,420,2.009
179,20240614,422,1.957
179,20240614,423,1.939
179,20240614,425,2.0
179,20240614,426,1.984
179,20240614,428,1.937
179,20240614,429,1.968
179,20240614,431,2.007
179,20240614,432,1.982
179,20240614,434,1.943
179,20240614,435,1.939
179,20240614,437,1.997
179,20240614,438,1.998
179,20240614,440,1.955
179,20240614,441,1.941
179,20240614,443,2.002
179,20240614,444,2.006
179,20240614,446,1.968
179,20240614,447,1.928
179,20240614,449,1.972
179,20240614,450,2.022
179,20240614,452,1.998
179,20240614,454,1.964
179,20240614,455,1.934
179,20240614,457,1.952
179,20240614,458,2.006
179,20240614,500,1.989
179,20240614,501,1.946
179,20240614,503,1.954
179,20240614,504,2.011
179,20240614,506,1.993
179,20240614,507,1.954
179,20240614,509,1.937
179,20240614,510,2.004
179,20240614,512,2.004
179,20240614,513,1.959
179,20240614,515,1.928
179,20240614,516,1.977
179,20240614,518,2.011
179,20240614,519,1.989
179,20240614,521,1.957
179,20240614,522,1.928
179,20240614,524,1.997
179,20240614,525,2.009
179,20240614,527,1.98
179,20240614,528,1.943
179,20240614,530,1.932
179,20240614,531,1.995
179,20240614,533,1.997
179,20240614,535,1.964
179,20240614,536,1.93
179,20240614,538,1.961
179,20240614,539,2.006
179,20240614,541,1.979
179,20240614,542,1.936
179,20240614,544,1.957
179,20240614,545,2.011
179,20240614,547,1.988
179,20240614,548,1.937
179,20240614,550,1.954
179,20240614,551,2.013
179,20240614,553,1.993
179,20240614,554,1.954
179,20240614,556,1.932
179,20240614,557,2.0
179,20240614,559,2.0
179,20240614,600,1.963
179,20240614,602,1.946
179,20240614,603,1.997
179,20240614,605,1.995
179,20240614,606,1.963
179,20240614,608,1.928
179,20240614,610,1.982
179,20240614,611,2.016
179,20240614,613,1.997
179,20240614,614,1.955
