machine_code,day,time,pressure_2
170,20240614,0,1.916
170,20240614,2,1.914
170,20240614,3,1.912
170,20240614,5,1.912
170,20240614,6,1.91
170,20240614,8,1.91
170,20240614,9,1.909
170,20240614,11,1.909
170,20240614,12,1.909
170,20240614,14,1.907
170,20240614,15,1.907
170,20240614,17,1.907
170,20240614,18,1.905
170,20240614,20,1.905
170,20240614,21,1.905
170,20240614,23,1.907
170,20240614,24,1.909
170,20240614,26,1.91
170,20240614,28,1.914
170,20240614,29,1.914
170,20240614,31,1.914
170,20240614,32,1.912
170,20240614,34,1.912
170,20240614,35,1.91
170,20240614,37,1.912
170,20240614,38,1.914
170,20240614,40,1.916
170,20240614,41,1.918
170,20240614,43,1.923
170,20240614,44,1.928
170,20240614,46,1.936
170,20240614,47,1.939
170,20240614,49,1.946
170,20240614,50,1.952
170,20240614,52,1.955
170,20240614,53,1.957
170,20240614,55,1.959
170,20240614,56,1.959
170,20240614,58,1.961
170,20240614,59,1.963
170,20240614,101,1.964
170,20240614,102,1.966
170,20240614,104,1.968
170,20240614,105,1.973
170,20240614,107,1.975
170,20240614,108,1.977
170,20240614,110,1.979
170,20240614,112,1.977
170,20240614,113,1.975
170,20240614,114,1.973
170,20240614,116,1.97
170,20240614,117,1.973
170,20240614,119,1.98
170,20240614,120,1.991
170,20240614,122,2.0
170,20240614,123,2.009
170,20240614,125,2.018
170,20240614,127,2.025
170,20240614,128,2.025
170,20240614,130,2.031
170,20240614,131,2.033
170,20240614,133,2.033
170,20240614,134,2.031
170,20240614,136,2.027
170,20240614,137,2.025
170,20240614,139,2.025
170,20240614,140,2.029
170,20240614,142,2.031
170,20240614,143,2.031
170,20240614,145,2.031
170,20240614,146,2.031
170,20240614,148,2.031
170,20240614,150,2.031
170,20240614,151,2.033
170,20240614,153,2.031
170,20240614,154,2.029
170,20240614,155,2.022
170,20240614,157,2.015
170,20240614,159,2.007
170,20240614,200,2.002
170,20240614,202,1.997
170,20240614,203,1.991
170,20240614,205,1.988
170,20240614,206,1.984
170,20240614,208,1.984
170,20240614,209,1.982
170,20240614,211,1.984
170,20240614,212,1.989
170,20240614,214,1.995
170,20240614,215,2.0
170,20240614,217,2.007
170,20240614,219,2.016
170,20240614,220,2.022
170,20240614,222,2.029
170,20240614,223,2.038
170,20240614,225,2.042
170,20240614,226,2.045
170,20240614,228,2.049
170,20240614,229,2.051
170,20240614,231,2.052
170,20240614,232,2.058
170,20240614,234,2.063
170,20240614,235,2.07
170,20240614,237,2.076
170,20240614,238,2.081
170,20240614,240,2.085
170,20240614,241,2.085
170,20240614,243,2.081
170,20240614,244,2.072
170,20240614,246,2.063
170,20240614,247,2.052
170,20240614,249,2.045
170,20240614,250,2.031
170,20240614,252,2.018
170,20240614,253,2.004
170,20240614,255,1.989
170,20240614,257,1.975
170,20240614,258,1.961
170,20240614,259,1.952
170,20240614,301,1.941
170,20240614,302,1.93
170,20240614,304,1.921
170,20240614,305,1.912
170,20240614,307,1.907
170,20240614,309,1.901
170,20240614,310,1.898
170,20240614,312,1.896
170,20240614,313,1.893
170,20240614,315,1.889
170,20240614,316,1.889
170,20240614,318,1.891
170,20240614,319,1.893
170,20240614,321,1.896
170,20240614,322,1.903
170,20240614,324,1.912
170,20240614,325,1.923
170,20240614,327,1.932
170,20240614,328,1.941
170,20240614,330,1.952
170,20240614,331,1.968
170,20240614,333,1.984
170,20240614,334,2.0
170,20240614,336,2.015
170,20240614,337,2.027
170,20240614,339,2.04
170,20240614,341,2.051
170,20240614,342,2.058
170,20240614,344,2.068
170,20240614,345,2.072
170,20240614,347,2.076
170,20240614,348,2.076
170,20240614,350,2.074
170,20240614,351,2.076
170,20240614,353,2.077
170,20240614,354,2.081
170,20240614,356,2.09
170,20240614,357,2.097
170,20240614,359,2.103
170,20240614,400,2.104
170,20240614,402,2.104
170,20240614,403,2.104
170,20240614,405,2.103
170,20240614,406,2.104
170,20240614,408,2.099
170,20240614,409,2.095
170,20240614,411,2.092
170,20240614,413,2.086
170,20240614,414,2.076
170,20240614,416,2.068
170,20240614,417,2.059
170,20240614,419,2.051
170,20240614,420,2.042
170,20240614,422,2.033
170,20240614,423,2.02
170,20240614,425,2.007
170,20240614,426,1.995
170,20240614,428,1.988
170,20240614,429,1.982
170,20240614,431,1.979
170,20240614,432,1.975
170,20240614,434,1.972
170,20240614,435,1.97
170,20240614,437,1.97
170,20240614,438,1.97
170,20240614,440,1.973
170,20240614,441,1.979
170,20240614,443,1.986
170,20240614,444,1.993
170,20240614,446,1.998
170,20240614,447,2.002
170,20240614,449,2.004
170,20240614,450,2.002
170,20240614,452,1.997
170,20240614,454,1.991
170,20240614,455,1.982
170,20240614,457,1.977
170,20240614,458,1.97
170,20240614,500,1.964
170,20240614,501,1.955
170,20240614,503,1.948
170,20240614,504,1.943
170,20240614,506,1.937
170,20240614,507,1.93
170,20240614,509,1.919
170,20240614,510,1.912
170,20240614,512,1.9
170,20240614,513,1.891
170,20240614,515,1.882
170,20240614,516,1.878
170,20240614,518,1.875
170,20240614,519,1.871
170,20240614,521,1.871
170,20240614,522,1.869
170,20240614,524,1.871
170,20240614,525,1.873
170,20240614,527,1.878
170,20240614,528,1.885
170,20240614,530,1.894
170,20240614,531,1.9
170,20240614,533,1.905
170,20240614,534,1.91
170,20240614,536,1.912
170,20240614,537,1.914
170,20240614,539,1.918
170,20240614,541,1.923
170,20240614,542,1.932
170,20240614,544,1.941
170,20240614,545,1.95
170,20240614,547,1.955
170,20240614,548,1.966
170,20240614,550,1.975
170,20240614,551,1.988
170,20240614,553,2.0
170,20240614,554,2.009
170,20240614,556,2.02
170,20240614,557,2.027
170,20240614,559,2.031
170,20240614,600,2.033
170,20240614,602,2.031
170,20240614,603,2.033
170,20240614,605,2.033
170,20240614,606,2.033
170,20240614,608,2.033
170,20240614,610,2.033
170,20240614,611,2.034
170,20240614,613,2.038
170,20240614,614,2.042
170,20240614,616,2.043
170,20240614,617,2.047
170,20240614,619,2.049
170,20240614,620,2.045
170,20240614,621,2.042
170,20240614,623,2.033
170,20240614,625,2.024
170,20240614,626,2.011
170,20240614,628,1.995
170,20240614,629,1.98
170,20240614,631,1.963
170,20240614,632,1.943
170,20240614,634,1.923
170,20240614,635,1.901
170,20240614,637,1.882
170,20240614,638,1.86
170,20240614,640,1.842
170,20240614,641,1.826
170,20240614,643,1.813
170,20240614,644,1.806
170,20240614,646,1.81
170,20240614,648,1.821
170,20240614,649,1.839
170,20240614,651,1.858
170,20240614,652,1.876
170,20240614,654,1.889
170,20240614,655,1.901
170,20240614,657,1.909
170,20240614,658,1.916
170,20240614,700,1.918
170,20240614,701,1.921
170,20240614,703,1.921
170,20240614,704,1.921
170,20240614,706,1.925
170,20240614,707,1.925
170,20240614,709,1.925
170,20240614,710,1.932
170,20240614,712,1.937
170,20240614,713,1.946
170,20240614,715,1.955
170,20240614,717,1.966
170,20240614,718,1.973
170,20240614,719,1.979
170,20240614,721,1.982
170,20240614,722,1.986
170,20240614,724,1.991
170,20240614,725,1.998
170,20240614,727,2.0
170,20240614,729,2.004
170,20240614,730,2.007
170,20240614,732,2.007
170,20240614,733,2.007
170,20240614,735,2.009
170,20240614,736,2.009
170,20240614,738,2.009
170,20240614,739,2.007
170,20240614,741,2.004
170,20240614,742,1.998
170,20240614,744,1.995
170,20240614,745,1.995
170,20240614,747,1.995
170,20240614,748,1.995
170,20240614,750,1.998
170,20240614,751,2.0
170,20240614,753,2.004
170,20240614,754,2.006
170,20240614,756,2.007
170,20240614,757,2.007
170,20240614,759,2.011
170,20240614,800,2.015
170,20240614,802,2.02
170,20240614,804,2.022
170,20240614,805,2.025
170,20240614,807,2.027
170,20240614,808,2.029
170,20240614,810,2.034
170,20240614,811,2.038
